year,longitude,latitude,fish_type
2015.0,-56.9265000000,51.3920833300,capelin
2015.0,-56.3160000000,51.6038333300,capelin
2015.0,-55.6270000000,52.0979166700,capelin
2015.0,-55.4805833300,52.0192500000,capelin
2015.0,-55.8610833300,51.8460000000,capelin
2015.0,-56.1733333300,51.5585000000,capelin
2015.0,-57.0426666700,51.3161666700,capelin
2015.0,-57.0700000000,51.2365833300,capelin
2015.0,-57.3348333300,50.9482500000,capelin
2015.0,-57.5420833300,50.4935833300,capelin
2015.0,-57.8695000000,50.2241666700,capelin
2015.0,-57.8716666700,50.1452500000,capelin
2015.0,-58.3261666700,50.0395833300,capelin
2015.0,-58.4589166700,49.9890000000,capelin
2015.0,-58.5393333300,49.7923333300,capelin
2015.0,-59.0523333300,49.8123333300,capelin
2015.0,-59.3331666700,49.4802500000,capelin
2015.0,-59.4777500000,48.8715000000,capelin
2015.0,-59.3056666700,48.1471666700,capelin
2015.0,-59.2407500000,48.1365000000,capelin
2015.0,-59.5560000000,48.1380000000,capelin
2015.0,-61.8775833300,48.3251666700,capelin
2015.0,-61.9764166700,48.4565000000,capelin
2015.0,-62.5765833300,48.4219166700,capelin
2015.0,-62.8657500000,48.5155000000,capelin
2015.0,-63.8961666700,48.9046666700,capelin
2015.0,-64.0204166700,49.0088333300,capelin
2015.0,-64.2340833300,49.0983333300,capelin
2015.0,-64.8105833300,49.5590833300,capelin
2015.0,-64.9405000000,49.5991666700,capelin
2015.0,-64.9015833300,49.2812500000,capelin
2015.0,-65.2054166700,49.3076666700,capelin
2015.0,-65.4080000000,49.3206666700,capelin
2015.0,-66.5852500000,49.3634166700,capelin
2015.0,-67.1739166700,49.0816666700,capelin
2015.0,-67.1870833300,48.9565833300,capelin
2015.0,-67.9949166700,48.7923333300,capelin
2015.0,-68.2675000000,48.6803333300,capelin
2015.0,-68.6929166700,48.5384166700,capelin
2015.0,-68.8999166700,48.4933333300,capelin
2015.0,-69.1650833300,48.5124166700,capelin
2015.0,-68.7844166700,48.7085000000,capelin
2015.0,-68.5584166700,48.8707500000,capelin
2015.0,-68.1434166700,48.9963333300,capelin
2015.0,-68.0663333300,49.1343333300,capelin
2015.0,-67.9441666700,49.2116666700,capelin
2015.0,-66.6595833300,49.5105833300,capelin
2015.0,-66.9307500000,49.6107500000,capelin
2015.0,-66.6362500000,49.7077500000,capelin
2015.0,-66.3490000000,49.8795000000,capelin
2015.0,-66.1009166700,49.7545000000,capelin
2015.0,-65.1537500000,49.6304166700,capelin
2015.0,-64.8050833300,49.8977500000,capelin
2015.0,-64.9889166700,49.9073333300,capelin
2015.0,-64.9315000000,50.0359166700,capelin
2015.0,-65.3478333300,50.0891666700,capelin
2015.0,-64.9415000000,50.2027500000,capelin
2015.0,-64.1508333300,50.0716666700,capelin
2015.0,-63.6672500000,49.9311666700,capelin
2015.0,-63.2931666700,50.0718333300,capelin
2015.0,-62.7570833300,50.0255000000,capelin
