,year,depth_range,temperature,salinity,temp_variation,sal_variation,temp_var_ytoy,sal_var_ytoy
145,2014,"(1400, 1500]",3.822,34.922,-0.052000000000000046,-0.0040000000000048885,-0.008000000000000007,-0.0040000000000048885
146,2015,"(1400, 1500]",3.842,34.927,-0.03200000000000003,0.0009999999999976694,0.020000000000000018,0.005000000000002558
147,2016,"(1400, 1500]",3.823,34.967,-0.051000000000000156,0.04099999999999682,-0.019000000000000128,0.03999999999999915
148,2017,"(1400, 1500]",3.815,34.915,-0.05900000000000016,-0.011000000000002785,-0.008000000000000007,-0.0519999999999996
149,2018,"(1400, 1500]",3.737,34.876,-0.137,-0.05000000000000426,-0.07799999999999985,-0.03900000000000148
150,2009,"(1500, 1600]",3.766,34.927,0.0,0.0,0.0,0.0
151,2010,"(1500, 1600]",3.694,34.921,-0.07200000000000006,-0.006000000000000227,-0.07200000000000006,-0.006000000000000227
152,2011,"(1500, 1600]",3.673,34.918,-0.09299999999999997,-0.009000000000000341,-0.020999999999999908,-0.0030000000000001137
153,2012,"(1500, 1600]",3.71,34.923,-0.05600000000000005,-0.003999999999997783,0.03699999999999992,0.005000000000002558
154,2013,"(1500, 1600]",3.759,34.927,-0.007000000000000117,0.0,0.04899999999999993,0.003999999999997783
155,2014,"(1500, 1600]",3.772,34.925,0.005999999999999783,-0.0020000000000024443,0.0129999999999999,-0.0020000000000024443
156,2015,"(1500, 1600]",3.793,34.929,0.027000000000000135,0.0020000000000024443,0.02100000000000035,0.0040000000000048885
157,2016,"(1500, 1600]",3.783,34.971,0.016999999999999904,0.04399999999999693,-0.010000000000000231,0.041999999999994486
158,2017,"(1500, 1600]",3.768,34.917,0.0019999999999997797,-0.00999999999999801,-0.015000000000000124,-0.05399999999999494
159,2018,"(1500, 1600]",3.693,34.878,-0.07299999999999995,-0.04899999999999949,-0.07499999999999973,-0.03900000000000148
160,2009,"(1600, 1700]",3.685,34.925,0.0,0.0,0.0,0.0
161,2010,"(1600, 1700]",3.62,34.921,-0.06499999999999995,-0.003999999999997783,-0.06499999999999995,-0.003999999999997783
162,2011,"(1600, 1700]",3.612,34.918,-0.07299999999999995,-0.006999999999997897,-0.008000000000000007,-0.0030000000000001137
163,2012,"(1600, 1700]",3.636,34.923,-0.04899999999999993,-0.001999999999995339,0.02400000000000002,0.005000000000002558
164,2013,"(1600, 1700]",3.686,34.927,0.0009999999999998899,0.0020000000000024443,0.04999999999999982,0.003999999999997783
165,2014,"(1600, 1700]",3.709,34.923,0.02400000000000002,-0.001999999999995339,0.02300000000000013,-0.003999999999997783
166,2015,"(1600, 1700]",3.734,34.931,0.04899999999999993,0.006000000000000227,0.02499999999999991,0.007999999999995566
167,2016,"(1600, 1700]",3.736,34.963,0.051000000000000156,0.03800000000000381,0.002000000000000224,0.03200000000000358
168,2017,"(1600, 1700]",3.712,34.918,0.027000000000000135,-0.006999999999997897,-0.02400000000000002,-0.045000000000001705
169,2018,"(1600, 1700]",3.652,34.879,-0.03299999999999992,-0.045999999999999375,-0.06000000000000005,-0.03900000000000148
170,2009,"(1700, 1800]",3.604,34.925,0.0,0.0,0.0,0.0
171,2010,"(1700, 1800]",3.554,34.921,-0.050000000000000266,-0.003999999999997783,-0.050000000000000266,-0.003999999999997783
172,2011,"(1700, 1800]",3.542,34.92,-0.06200000000000028,-0.0049999999999954525,-0.01200000000000001,-0.0009999999999976694
